time,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
12.253,0.0,0.0,0.0,0.0,0.0,0.0
12.454,-30.0,-20.0,29.0,16275.0,493.0,1013.0
12.655,446.0,1265.0,-1054.0,16059.0,1332.0,1194.0
12.856,-46.0,6.0,8.0,16370.0,366.0,1014.0
13.057,-21.0,-12.0,28.0,16287.0,488.0,1029.0
13.258,-29.0,-8.0,28.0,16285.0,457.0,998.0
13.459,-21.0,-14.0,25.0,16263.0,453.0,1047.0
13.66,-63.0,183.0,-416.0,16115.0,397.0,1035.0
13.861,-49.0,-212.0,289.0,16372.0,692.0,1008.0
14.062,-156.0,994.0,440.0,16075.0,641.0,442.0
14.263,-68.0,4299.0,226.0,17915.0,3165.0,1300.0
14.464,-58.0,5595.0,1919.0,14914.0,722.0,4164.0
14.665,567.0,4579.0,612.0,13426.0,-524.0,6203.0
14.866,414.0,4639.0,780.0,14196.0,588.0,8849.0
15.067,190.0,2875.0,2.0,11677.0,-361.0,9151.0
15.268,562.0,7374.0,1099.0,10804.0,433.0,11427.0
15.469,-741.0,9003.0,-5563.0,7128.0,-573.0,13885.0
15.67,457.0,4834.0,-1345.0,7923.0,924.0,14717.0
15.871,1353.0,4398.0,1037.0,5619.0,1195.0,15777.0
16.072,2215.0,4038.0,1002.0,3593.0,2053.0,16087.0
16.273,1815.0,5877.0,25.0,1968.0,2514.0,15592.0
16.474,1559.0,6542.0,2216.0,-2447.0,2837.0,15397.0
16.675,-964.0,3475.0,473.0,-3046.0,2210.0,15329.0
16.876,-336.0,1552.0,715.0,-3586.0,1915.0,16705.0
17.077,-312.0,53.0,-572.0,-3852.0,2124.0,16039.0
17.278,28.0,-224.0,-176.0,-3433.0,1947.0,16342.0
17.479,13.0,494.0,-427.0,-3735.0,1824.0,15591.0
17.68,375.0,88.0,438.0,-3637.0,1838.0,16171.0
17.881,-20.0,-73.0,-69.0,-3824.0,1852.0,15934.0
18.082,225.0,-34.0,-31.0,-3747.0,2020.0,16000.0
18.283,178.0,-136.0,-287.0,-4155.0,1806.0,15793.0
18.484,1621.0,-2465.0,-1673.0,-2660.0,1801.0,15765.0
18.685,1471.0,-8465.0,1380.0,-2550.0,1926.0,14828.0
18.886,516.0,-10159.0,-566.0,3126.0,3211.0,15085.0
19.087,1171.0,-6381.0,2755.0,6443.0,3685.0,13425.0
19.288,671.0,-4308.0,2299.0,9195.0,2752.0,12828.0
19.489,-448.0,-4954.0,3745.0,9518.0,1523.0,11530.0
19.69,274.0,-5481.0,731.0,13796.0,2016.0,11041.0
19.891,60.0,-4543.0,1599.0,13363.0,1325.0,8823.0
20.092,547.0,-4248.0,2924.0,14915.0,711.0,7920.0
20.293,1437.0,-1580.0,1724.0,15376.0,60.0,6838.0
20.494,-428.0,-691.0,502.0,15152.0,-691.0,6408.0
20.695,-1438.0,95.0,2.0,15249.0,-1400.0,6082.0
20.896,-563.0,-28.0,-1561.0,14754.0,-1424.0,5536.0
21.097,-592.0,-1458.0,-2507.0,14939.0,-1354.0,5703.0
21.298,635.0,-137.0,207.0,15371.0,-737.0,5302.0
