time_stamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
8199.0,0.06,-0.05,0.0,-0.09,-0.89,-9.81
8401.0,0.06,-0.05,0.0,-0.08,-0.92,-9.79
8602.0,0.06,-0.05,0.01,-0.08,-0.84,-9.82
8804.0,0.06,-0.05,0.01,-0.09,-0.86,-9.82
9005.0,0.07,-0.05,0.0,-0.11,-0.85,-9.8
9207.0,0.06,-0.05,0.0,-0.07,-0.85,-9.81
9408.0,0.08,-0.06,0.0,-0.1,-0.91,-9.78
9610.0,0.07,-0.05,0.0,-0.1,-0.81,-9.85
9812.0,0.06,-0.05,0.0,-0.08,-0.87,-9.8
10013.0,0.05,-0.05,0.0,-0.07,-0.8,-9.81
10215.0,0.05,-0.05,0.0,-0.08,-0.88,-9.8
10416.0,0.06,-0.05,0.0,-0.15,-0.86,-9.85
10618.0,0.08,-0.06,0.0,-0.06,-0.91,-9.75
10819.0,0.1,-0.06,0.01,-0.1,-0.89,-9.82
11021.0,0.05,-0.05,0.0,-0.07,-0.84,-9.82
11222.0,0.04,-0.05,-0.0,-0.1,-0.89,-9.81
11424.0,0.06,-0.05,-0.01,-0.12,-0.79,-9.8
11626.0,0.06,-0.07,0.01,-0.06,-0.86,-9.86
11827.0,0.08,-0.07,0.0,0.03,-0.9,-10.43
12028.0,0.13,-0.15,-0.0,0.02,-0.47,-9.53
12230.0,-0.07,-0.06,-0.05,-0.4,-1.07,-9.89
12431.0,0.16,-0.0,-0.05,-0.35,-1.26,-10.17
12633.0,0.22,-0.13,-0.05,-0.05,-1.11,-9.76
12835.0,0.04,-0.11,-0.02,-0.31,-1.52,-9.76
13037.0,0.16,-0.12,-0.06,-0.22,-1.22,-9.74
13238.0,0.19,0.01,0.01,-0.25,-1.41,-9.9
13440.0,0.16,-0.11,-0.0,-0.11,-1.5,-9.52
13641.0,0.09,0.08,-0.02,0.15,-1.95,-9.13
13843.0,0.06,-0.21,0.04,-0.24,-1.76,-9.2
14045.0,-0.03,-0.13,0.11,-0.74,-1.79,-8.98
14246.0,0.07,0.04,0.03,-0.96,-1.58,-9.21
14448.0,0.25,-0.08,-0.11,-0.73,-1.1,-9.59
14650.0,0.11,-0.09,-0.16,-0.5,-2.53,-9.45
14851.0,-0.13,0.21,0.03,-0.32,-2.22,-9.74
15053.0,-0.08,0.24,0.05,0.4,-0.32,-8.95
15254.0,0.17,-0.57,-0.04,-0.03,-1.38,-9.66
15456.0,-0.06,0.16,0.06,-0.23,-1.24,-10.17
15657.0,0.14,0.11,0.02,0.0,-0.71,-10.12
15859.0,0.59,-0.5,0.01,0.29,-1.62,-9.87
16061.0,-0.28,0.08,0.06,-0.69,-2.07,-9.41
16262.0,0.21,-0.05,0.18,-0.57,-2.48,-10.8
16464.0,-0.44,0.28,0.04,0.05,-0.89,-9.66
16665.0,-0.09,-0.08,0.06,-0.05,-1.07,-9.63
16867.0,0.03,-0.05,-0.05,0.29,-0.78,-10.37
17069.0,0.12,-0.14,-0.02,0.52,-1.02,-9.58
17271.0,0.12,-0.28,0.02,-0.39,-1.03,-10.06
17472.0,-0.04,0.11,0.22,-0.12,-0.79,-9.62
17674.0,-0.14,0.05,0.45,-0.4,-0.97,-9.19
17875.0,0.31,-0.01,0.62,0.4,-0.55,-9.84
18076.0,-0.18,0.33,0.54,0.23,-0.33,-9.96
18278.0,0.29,-0.03,0.69,1.08,-0.58,-9.38
18479.0,-0.01,0.31,0.78,1.36,-1.15,-10.27
18681.0,-0.1,0.1,0.79,1.88,-0.85,-9.18
18883.0,0.03,-0.03,0.71,1.24,-1.03,-9.63
19084.0,0.01,-0.13,0.69,1.18,-1.25,-9.37
19286.0,0.21,0.01,0.48,1.63,-1.77,-9.69
19487.0,-0.36,0.15,0.53,2.0,-0.78,-9.63
19689.0,0.36,-0.22,0.52,1.53,-1.0,-9.5
19890.0,-0.07,-0.0,0.37,1.34,-1.63,-9.9
20092.0,0.1,-0.13,0.45,1.18,-1.34,-9.77
20293.0,0.14,-0.15,0.11,0.69,-1.71,-9.62
20495.0,-0.05,0.02,-0.01,0.82,-1.51,-9.76
20696.0,0.1,-0.09,0.0,0.79,-1.73,-9.53
20898.0,-0.04,-0.06,-0.14,0.53,-1.42,-9.75
21100.0,0.06,-0.07,-0.02,0.98,-1.36,-9.75
21301.0,-0.07,0.06,-0.22,0.92,-1.18,-9.87
21503.0,0.11,-0.06,-0.63,1.42,-1.07,-9.64
21704.0,0.29,-0.22,-0.86,1.33,-1.23,-9.69
21906.0,-0.13,-0.06,-1.06,1.09,-1.16,-9.92
22107.0,0.2,-0.28,-1.25,1.09,-0.65,-9.69
22309.0,0.02,-0.11,-1.09,0.48,-0.31,-9.4
22511.0,0.29,-0.35,-0.99,0.76,-0.62,-9.65
